x,y
250,93
293,512
33,199
302,597
146,292
511,264
262,517
227,334
429,484
475,341
228,370
480,322
215,138
376,286
498,147
310,593
463,322
108,451
175,102
360,183
297,453
475,582
87,365
44,393
377,44
24,196
219,246
70,463
135,496
259,467
441,353
244,220
232,206
95,191
327,599
200,34
101,472
139,73
413,83
397,397
52,29
212,456
241,271
295,298
417,0
257,538
294,623
145,222
297,555
67,334
182,388
486,509
212,485
24,595
343,397
427,202
92,48
104,466
449,467
376,627
272,394
276,623
331,19
484,111
413,18
60,469
434,361
184,146
241,320
513,6
23,496
246,302
185,202
507,584
388,180
347,17
180,49
190,634
514,391
476,481
182,140
428,299
69,226
22,27
381,135
17,350
505,578
459,463
359,510
59,117
334,68
15,567
82,56
89,195
313,535
326,337
275,263
134,438
147,102
293,62
458,600
244,228
345,174
383,278
166,313
433,56
444,439
193,484
433,140
249,35
90,436
107,432
170,96
298,628
409,426
48,611
331,189
414,61
20,424
155,445
294,193
288,422
223,593
414,541
379,376
85,225
421,135
37,223
14,466
63,51
33,615
336,453
295,225
390,344
405,62
366,63
198,211
18,132
399,208
239,208
462,276
222,183
205,252
452,82
223,364
223,589
108,529
220,257
134,41
270,78
244,271
268,201
112,49
69,228
33,143
363,21
194,153
86,348
335,455
79,42
291,46
373,413
444,69
2,491
403,6
426,213
390,598
136,603
361,304
237,171
383,360
192,417
268,542
50,260
213,113
488,503
133,343
453,328
490,457
348,235
509,427
453,202
349,153
156,215
391,359
101,339
251,161
31,121
379,71
132,395
490,38
427,567
457,488
49,352
504,310
81,321
260,9
336,459
486,14
286,307
186,32
66,120
459,611
420,366
15,286
502,525
370,539
218,218
481,294
477,633
215,73
426,580
515,140
94,149
411,541
254,23
49,509
505,46
184,545
402,357
191,579
510,192
214,0
459,319
444,411
387,404
415,398
287,382
336,186
270,584
513,345
516,12
251,190
51,402
155,260
101,244
495,19
411,324
208,477
3,514
16,314
211,128
229,358
5,322
369,210
274,7
252,205
462,575
209,3
286,9
163,132
382,608
324,172
99,611
225,103
341,633
518,32
134,282
42,10
430,600
115,354
198,592
24,310
371,575
37,170
300,253
194,633
280,286
123,359
252,51
454,402
71,37
311,616
303,628
84,434
364,103
45,299
311,499
35,466
485,623
287,448
3,126
382,390
25,224
115,251
91,495
474,114
466,235
439,199
134,78
506,55
435,241
403,449
219,47
19,349
336,530
79,335
513,66
439,544
492,42
456,91
151,451
283,375
333,458
384,424
313,284
473,328
10,412
55,283
81,465
501,383
87,414
374,321
141,588
415,371
432,143
518,206
