x,y
59,206
126,205
374,556
126,672
21,748
127,491
78,750
255,636
199,286
18,89
350,602
269,85
173,457
134,232
239,124
152,523
50,688
160,63
282,714
19,134
137,102
133,295
152,404
344,211
178,223
267,335
83,535
153,591
410,258
414,606
245,376
425,49
10,601
406,579
49,337
46,250
181,189
353,390
226,611
89,367
173,624
218,661
50,114
297,172
327,548
292,400
233,153
223,195
250,523
267,227
275,553
47,98
425,290
26,668
346,115
28,191
264,180
424,409
259,214
28,99
440,167
375,64
211,627
67,233
249,291
172,226
289,88
271,329
121,715
97,111
213,676
155,35
153,398
371,10
275,329
428,299
350,165
236,396
344,347
254,754
293,380
87,275
313,84
388,410
134,656
8,64
185,708
155,72
322,502
34,645
367,481
202,565
434,564
376,673
296,74
189,230
173,6
141,142
52,517
331,213
410,583
393,212
278,21
235,40
126,712
381,100
187,451
198,679
61,318
299,58
217,686
54,753
367,729
210,34
313,321
305,330
235,99
437,50
11,337
185,101
68,481
156,740
233,151
313,107
315,513
57,366
201,160
361,456
60,88
126,659
271,601
450,477
380,124
221,441
267,20
368,599
362,450
173,176
7,524
309,13
40,54
6,248
440,55
87,306
338,150
297,128
210,591
22,532
313,83
154,154
283,726
87,545
245,67
266,661
326,81
145,123
71,7
371,713
335,367
293,340
375,595
14,114
432,612
49,50
79,659
27,673
115,356
355,255
333,19
203,633
356,619
449,373
333,688
54,554
102,557
71,677
67,682
123,575
105,167
181,91
9,560
328,639
8,658
336,601
441,620
50,347
130,625
226,82
3,23
37,543
175,648
342,356
2,152
295,1
333,203
343,583
425,141
258,604
67,652
328,0
213,438
338,497
314,473
68,87
61,95
330,653
430,599
171,223
373,200
272,120
134,753
311,381
196,66
389,308
317,671
403,122
235,84
219,233
126,313
420,612
281,166
262,251
127,127
93,283
80,634
94,48
110,329
135,48
377,265
412,512
22,208
162,270
185,127
276,573
422,273
47,522
74,737
361,73
396,481
344,413
148,284
355,616
106,475
290,22
149,462
184,115
395,560
191,652
327,148
377,101
92,391
172,720
115,70
13,652
248,406
31,403
407,160
50,62
125,114
79,522
87,113
439,98
154,70
309,406
422,37
280,82
313,202
404,408
0,458
347,385
174,312
421,725
412,633
105,149
422,266
222,614
248,752
337,195
311,596
172,262
287,154
325,518
422,738
35,683
95,238
369,485
237,82
413,432
205,312
283,441
426,140
441,227
172,297
225,225
227,171
50,417
402,614
37,64
281,399
214,671
405,457
371,46
17,164
268,742
320,29
94,161
102,268
15,412
362,179
292,66
385,711
424,522
358,173
338,94
284,166
108,341
362,503
165,688
31,659
180,596
172,502
350,17
253,454
299,59
378,106
242,670
239,678
406,378
338,444
238,455
396,139
49,647
147,361
